dictionary,term,semantic_role,source_file,patients_with_term_full_report,patients_with_term_model_window,requires_negation_or_context_handling,allowed_c16_mea_use,allowed_as_patient_target,prohibited_use
diffuse_ht_like,弥漫性,support_or_morphology,analyze_phase_c11_report_filter_hypotheses.py,24,21,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
diffuse_ht_like,桥本,support_or_morphology,analyze_phase_c11_report_filter_hypotheses.py,0,0,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
diffuse_ht_like,甲状腺炎,support_or_morphology,analyze_phase_c11_report_filter_hypotheses.py,0,0,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
diffuse_ht_like,表面欠光滑,support_or_morphology,analyze_phase_c11_report_filter_hypotheses.py,21,16,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
morphology_high,实质回声不均,support_or_morphology,build_evidence_weak_labels.py,315,310,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
morphology_high,实质回声粗糙,support_or_morphology,build_evidence_weak_labels.py,20,17,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
morphology_high,弥漫性回声改变,support_or_morphology,build_evidence_weak_labels.py,0,0,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
morphology_high,弥漫性改变,support_or_morphology,build_evidence_weak_labels.py,0,0,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
morphology_high,弥漫性病变,support_or_morphology,build_evidence_weak_labels.py,0,0,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
morphology_high,桥本样改变,support_or_morphology,build_evidence_weak_labels.py,0,0,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
morphology_high,腺体回声不均,support_or_morphology,build_evidence_weak_labels.py,28,19,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
morphology_medium,低回声,support_or_morphology,build_evidence_weak_labels.py,575,517,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
morphology_medium,回声不均,support_or_morphology,build_evidence_weak_labels.py,486,459,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
morphology_medium,回声减低,support_or_morphology,build_evidence_weak_labels.py,9,6,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
morphology_medium,回声欠均,support_or_morphology,build_evidence_weak_labels.py,374,193,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
morphology_medium,回声欠均匀,support_or_morphology,build_evidence_weak_labels.py,352,177,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_strong,双侧甲状腺未见明显异常,opposition_or_normal,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_strong,回声均匀,opposition_or_normal,build_evidence_weak_labels.py,311,91,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_strong,实质回声均匀,opposition_or_normal,build_evidence_weak_labels.py,166,21,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_strong,无明显弥漫性改变,opposition_or_normal,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_strong,未提示桥本样改变,opposition_or_normal,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_strong,未见弥漫性改变,opposition_or_normal,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_strong,未见明显弥漫性改变,opposition_or_normal,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_strong,未见明显弥漫性病变,opposition_or_normal,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_strong,未见明显桥本表现,opposition_or_normal,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_strong,未见明显甲状腺弥漫性病变,opposition_or_normal,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_strong,未见桥本样改变,opposition_or_normal,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_strong,甲状腺实质回声均匀,opposition_or_normal,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_strong,甲状腺未见明显异常,opposition_or_normal,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_thyroid_general,内部回声细小均匀,opposition_or_normal,analyze_phase_c11_report_filter_hypotheses.py,170,104,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_thyroid_general,回声均匀,opposition_or_normal,analyze_phase_c11_report_filter_hypotheses.py,311,91,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_thyroid_general,大小正常,opposition_or_normal,analyze_phase_c11_report_filter_hypotheses.py,587,468,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_thyroid_general,实质回声均匀,opposition_or_normal,analyze_phase_c11_report_filter_hypotheses.py,166,21,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_thyroid_general,形态大小正常,opposition_or_normal,analyze_phase_c11_report_filter_hypotheses.py,584,465,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_thyroid_general,未见异常回声,opposition_or_normal,analyze_phase_c11_report_filter_hypotheses.py,2,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_thyroid_general,未见异常血流,opposition_or_normal,analyze_phase_c11_report_filter_hypotheses.py,299,44,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_thyroid_general,未见明显异常回声,opposition_or_normal,analyze_phase_c11_report_filter_hypotheses.py,427,316,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_weak,未见异常血流,nonspecific_negative,build_evidence_weak_labels.py,299,44,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_weak,未见明显异常血流,nonspecific_negative,build_evidence_weak_labels.py,1,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_weak,未见明显结节,nonspecific_negative,build_evidence_weak_labels.py,8,7,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_weak,未见明显肿大淋巴结,nonspecific_negative,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_weak,未见明显钙化,nonspecific_negative,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
opposition_weak,未见结节,nonspecific_negative,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
thyroid_morphology_general,低回声,nonspecific_morphology,analyze_phase_c11_report_filter_hypotheses.py,575,517,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
thyroid_morphology_general,体积增大,nonspecific_morphology,analyze_phase_c11_report_filter_hypotheses.py,53,28,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
thyroid_morphology_general,回声不均,nonspecific_morphology,analyze_phase_c11_report_filter_hypotheses.py,486,459,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
thyroid_morphology_general,回声欠均,nonspecific_morphology,analyze_phase_c11_report_filter_hypotheses.py,374,193,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
thyroid_morphology_general,回声欠均匀,nonspecific_morphology,analyze_phase_c11_report_filter_hypotheses.py,352,177,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
thyroid_morphology_general,回声粗糙,nonspecific_morphology,analyze_phase_c11_report_filter_hypotheses.py,27,21,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
thyroid_morphology_general,实质回声不均,nonspecific_morphology,analyze_phase_c11_report_filter_hypotheses.py,315,310,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
thyroid_morphology_general,弥漫性,nonspecific_morphology,analyze_phase_c11_report_filter_hypotheses.py,24,21,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
thyroid_morphology_general,桥本,nonspecific_morphology,analyze_phase_c11_report_filter_hypotheses.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
thyroid_morphology_general,甲状腺炎,nonspecific_morphology,analyze_phase_c11_report_filter_hypotheses.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
thyroid_morphology_general,表面欠光滑,nonspecific_morphology,analyze_phase_c11_report_filter_hypotheses.py,21,16,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
uncertainty,不能除外,uncertainty,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
uncertainty,倾向,uncertainty,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
uncertainty,可疑,uncertainty,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
uncertainty,建议复查,uncertainty,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
uncertainty,建议结合,uncertainty,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
uncertainty,待排,uncertainty,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
uncertainty,考虑,uncertainty,build_evidence_weak_labels.py,0,0,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
