field,rows_present,rows_nonempty,nonempty_fraction,observed_types,example_shape_or_value,policy_category,allowed_as_c16_mea_input,policy_rule
phase_c12_n_thyroid_morphology_clauses,780,780,1.0,int,5,manifest_metadata_review,0,not authorized as a C16-MEA input without a separate audit
phase_c12_original_report_length,780,780,1.0,int,758,manifest_metadata_review,0,not authorized as a C16-MEA input without a separate audit
phase_c12_report_filter,780,780,1.0,int,1,manifest_metadata_review,0,not authorized as a C16-MEA input without a separate audit
phase_c12_report_filter_mode,780,780,1.0,str,combined_low_risk,manifest_metadata_review,0,not authorized as a C16-MEA input without a separate audit
phase_c12_report_length_delta,780,780,1.0,int,-3,manifest_metadata_review,0,not authorized as a C16-MEA input without a separate audit
report_length_bin,780,780,1.0,str,q8,manifest_metadata_review,0,not authorized as a C16-MEA input without a separate audit
structural_match,780,780,1.0,int,1,manifest_metadata_review,0,not authorized as a C16-MEA input without a separate audit
bio_values,780,780,1.0,list,<list_len=7>,model_input,1,unchanged C13 modality input
image_paths,780,780,1.0,list,<list_len=12>,model_input,1,unchanged C13 modality input
report_text,780,775,0.9935897435897436,str,<text_chars=994>,model_input,1,unchanged C13 modality input
split,780,780,1.0,str,test,partition,0,loader partition only
bio_missing_count,780,780,1.0,int,<list_len=1>,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
has_bio,780,780,1.0,int,1,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
image_padding_count,780,780,1.0,int,2,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
n_images,780,780,1.0,int,12,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
n_visits,780,780,1.0,int,3,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
padding_count,780,780,1.0,int,2,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
phase_c13_focus_prefix_chars,780,780,1.0,int,220,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
phase_c13_n_history_focus_clauses,780,780,1.0,int,2,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
phase_c13_n_latest_focus_clauses,780,780,1.0,int,1,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
phase_c13_n_visits_parsed,780,780,1.0,int,3,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
raw_n_images,780,780,1.0,int,12,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
raw_n_visits,780,780,1.0,int,3,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
report_length,780,780,1.0,int,994,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
selected_n_visits,780,780,1.0,int,3,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
selected_visit_dates,780,780,1.0,list,<list_len=3>,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
source_folder,780,0,0.0,,,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
used_images,780,780,1.0,int,12,shortcut_audit_only,0,"audit/export only; prohibited from model, gates, losses, or reliability scalars"
phase_c13_focus_latest_date,780,775,0.9935897435897436,str,2024-03-13,temporal_audit_metadata,0,offline verification only; derive model masks from report markers
phase_c13_focus_source,780,780,1.0,dict,"<dict_keys=max_prefix_chars,phase,uses_labels,uses_predictions,uses_test_selection>",temporal_audit_metadata,0,offline verification only; derive model masks from report markers
phase_c13_temporal_focus,780,780,1.0,int,1,temporal_audit_metadata,0,offline verification only; derive model masks from report markers
label,780,780,1.0,int,1,training_target,1,patient-level binary target only
bio_abnormal_flags,780,780,1.0,list,<list_len=7>,untrusted_legacy_tensor,0,zero-filled placeholder unless an explicit trusted source exists
bio_missing_mask,780,780,1.0,list,<list_len=7>,validity_mask,1,mask invalid bio computations; never reduce to a predictive count
